epoch,time,LOSS_train,RMSE_train,R2_train,LOSS_dev,RMSE_dev,R2_dev,Lr
1, 290.9641752000025, 10807945926342.395, 28182.17, -0.00039053195782590144, 528025692623.24304, 17618.762, -0.011482601498230771, [0.0001]
2, 568.7838193000061, 10601669770367.03, 27911.938, 0.018702523726646825, 522134359058.2751, 17520.197, -0.0001972010265538504, [0.0001]
3, 844.958378299998, 9973011177644.725, 27071.73, 0.07689157354974796, 529615564714.6371, 17645.266, -0.014528150193150235, [0.0001]
4, 1137.6116327000054, 9263374036623.238, 26090.8, 0.14257605067812018, 514107276043.9633, 17385.002, 0.01517942727617394, [0.0001]
5, 1438.469254399999, 8018587227962.153, 24274.582, 0.2577943304675666, 529478128931.3592, 17642.975, -0.014264879095643446, [0.0001]
6, 1739.3236417000007, 6931752411040.071, 22569.627, 0.3583924707673778, 518611689586.9951, 17460.994, 0.006550801827865271, [0.0001]
7, 2040.2645305000042, 6405023355898.496, 21695.178, 0.4071468560374254, 513021660745.4898, 17366.637, 0.017259024920127986, [0.0001]
8, 2341.176537399995, 6145923538589.237, 21251.834, 0.43112930430601126, 513960342925.4249, 17382.518, 0.015460891407677146, [0.0001]
9, 2641.9630187000002, 5084289860125.295, 19329.385, 0.5293948107751301, 539097216607.9283, 17802.516, -0.03269114123224326, [0.0001]
10, 2942.905832100005, 4110395451902.8623, 17379.795, 0.6195391131016041, 519657975116.29425, 17478.6, 0.004546544035355926, [0.0001]
11, 3234.8226293000043, 4868418598500.66, 18914.586, 0.5493759957035929, 536389703495.12103, 17757.754, -0.027504646625650553, [0.0001]
12, 3510.9295611999987, 4172662508390.448, 17510.941, 0.6137756336960271, 508671756442.04663, 17292.854, 0.025591673468451703, [0.0001]
13, 3786.9699439999968, 5684003350912.023, 20437.605, 0.4738849384868036, 511527940374.02826, 17341.334, 0.02012038600225763, [0.0001]
14, 4063.098086900005, 3856522375542.7524, 16834.521, 0.6430377708151526, 581122311369.6115, 18483.387, -0.11319414093776503, [0.0001]
15, 4339.204689499995, 5284343842508.103, 19705.996, 0.5108776835411354, 543475500043.39075, 17874.66, -0.04107815266230652, [0.0001]
16, 4615.214903200002, 4219549340415.121, 17609.047, 0.6094357579092085, 513677883585.2991, 17377.74, 0.01600196869266357, [0.0001]
17, 4891.2841912, 4034726564936.3843, 17219.078, 0.6265430746869918, 536762091096.2209, 17763.918, -0.028217989905699792, [0.0001]
18, 5167.341483700002, 3923760275053.085, 16980.64, 0.6368141869336927, 551822770355.993, 18011.406, -0.057068129682656066, [0.0001]
19, 5443.446565200007, 4443742374700.632, 18070.795, 0.5886843042695789, 525581875051.751, 17577.943, -0.0068012403649884146, [0.0001]
20, 5719.469006300002, 4449035014389.918, 18081.555, 0.5881944140841247, 541947151956.7719, 17849.51, -0.038150458952994626, [0.0001]
21, 5995.5536708, 3951215829812.736, 17039.947, 0.6342728828581187, 645067254555.0677, 19473.785, -0.23568666050542908, [0.0001]
22, 6272.188846899997, 4199788156852.8096, 17567.766, 0.6112648659627407, 525841572274.9543, 17582.283, -0.007298714686025054, [0.0001]
23, 6548.311078800005, 3891846626768.0527, 16911.445, 0.6397681350568758, 603861844971.4291, 18841.55, -0.15675384442521367, [0.0001]
24, 6824.341754599998, 2745546409398.873, 14204.215, 0.7458704316498235, 536893140893.0457, 17766.086, -0.0284690280488622, [0.0001]
25, 7100.397548000008, 3984621199197.7275, 17111.826, 0.6311808597510555, 569800535833.6089, 18302.451, -0.09150622095068628, [0.0001]
26, 7376.508062000008, 2547617369776.365, 13682.641, 0.7641908727944501, 526521422388.6428, 17593.648, -0.008601031166509232, [0.0001]
