epoch,time,LOSS_train,RMSE_train,R2_train,LOSS_test,RMSE_test,R2_test,Lr
46, 3939.6131110309943, 1230111642009.3381, 12400.159, 0.8489690166723175, 15156651181.40647, 3893.1545, 0.7637383058339643, [1e-05]
47, 4025.199113512994, 1230939680228.517, 12404.333, 0.8488673515695702, 12308060595.323814, 3508.2844, 0.8081421012237355, [1e-05]
48, 4110.804075386986, 1259591795926.1836, 12547.867, 0.8453494942788542, 11849783831.531876, 3442.3513, 0.8152857138406993, [1e-05]
49, 4196.428436043992, 1240444504321.4624, 12452.131, 0.8477003656797616, 12206362692.090202, 3493.7605, 0.8097273669017228, [1e-05]
50, 4281.966428395986, 1221901492942.098, 12358.709, 0.8499770445980321, 17866873587.31481, 4226.9224, 0.7214913919528707, [1e-05]
51, 4367.568605327993, 1264772100741.53, 12573.644, 0.8447134653986456, 13988652136.62539, 3740.1406, 0.781945060729981, [1e-05]
52, 4453.114358974999, 1245140564680.9463, 12475.679, 0.8471237914976814, 13476045327.332203, 3670.9734, 0.7899355694350455, [1e-05]
53, 4538.750409134998, 1239079983182.3047, 12445.28, 0.8478678992290598, 16439525602.473852, 4054.5686, 0.7437408749703791, [1e-05]
54, 4624.265617606987, 1244478804531.7007, 12472.363, 0.8472050412661205, 14162319116.705765, 3763.2856, 0.7792379419579383, [1e-05]
55, 4709.85509204799, 1233092568761.2603, 12415.175, 0.8486030236329909, 10945942505.693527, 3308.4656, 0.829374781428519, [1e-05]
56, 4795.40526425399, 1241578856884.4795, 12457.823, 0.8475610918308019, 12440493842.991833, 3527.1084, 0.8060777333707405, [1e-05]
57, 4881.021850110992, 1226594948382.9763, 12382.421, 0.8494007902433602, 13108440966.757061, 3620.558, 0.7956657817341086, [1e-05]
58, 4966.599697202997, 1205254179666.8818, 12274.232, 0.8520209729764457, 11198638294.630753, 3346.4368, 0.8254357625457613, [1e-05]
59, 5052.185818784987, 1208540470638.586, 12290.954, 0.8516174878454974, 15655705591.012291, 3956.7292, 0.7559590517702998, [1e-05]
60, 5137.768482380998, 1222907260928.8416, 12363.794, 0.8498535581413157, 17228305456.337273, 4150.699, 0.7314453842074574, [1e-05]
61, 5223.340258624987, 1235890106638.3013, 12429.251, 0.848259546763057, 13489901512.371372, 3672.86, 0.7897195793912786, [1e-05]
62, 5308.931475147998, 1167273434126.0227, 12079.287, 0.8566841833312265, 10597068923.011244, 3255.314, 0.8348130185897336, [1e-05]
63, 5394.46613613599, 1222266956356.333, 12360.558, 0.8499321736310912, 11168332739.407963, 3341.9058, 0.825908165171769, [1e-05]
64, 5480.063098252998, 1218222842241.268, 12340.091, 0.850428702979021, 11366457089.505596, 3371.4175, 0.8228198052135326, [1e-05]
65, 5565.682944685992, 1213924230903.7383, 12318.301, 0.8509564790564754, 18316507896.306767, 4279.779, 0.7144824978161544, [1e-05]
66, 5651.270367619989, 1235538679992.1719, 12427.483, 0.8483026943198478, 16648602093.070919, 4080.2698, 0.7404817931793203, [1e-05]
67, 5736.852475431995, 1216264350974.0713, 12330.169, 0.8506691631550098, 16662727987.436117, 4082.0007, 0.7402615989098615, [1e-05]
68, 5822.446751281997, 1227201174226.1758, 12385.481, 0.8493263588811242, 11963975805.407246, 3458.8982, 0.8135056907415956, [1e-05]
69, 5908.030042877988, 1216947249390.7031, 12333.63, 0.8505853180666011, 10723480393.684692, 3274.6726, 0.8328425181232474, [1e-05]
70, 5993.510481690988, 1228486729601.514, 12391.967, 0.8491685206119551, 12160856696.368118, 3487.242, 0.8104367138092509, [1.0000000000000002e-06]
71, 6078.964866997994, 1148682797929.2668, 11982.712, 0.858966709542341, 12319534806.92629, 3509.9194, 0.8079632413529123, [1.0000000000000002e-06]
72, 6164.500594269994, 1146226128616.818, 11969.891, 0.8592683351585039, 12416426806.529049, 3523.6953, 0.8064528900422372, [1.0000000000000002e-06]
73, 6250.077532871001, 1147386430951.187, 11975.947, 0.859125875241426, 12834891805.863949, 3582.5818, 0.7999298627251383, [1.0000000000000002e-06]
74, 6335.574260562993, 1149867113837.2583, 11988.886, 0.8588213012801589, 13277089011.58847, 3643.774, 0.7930368980636485, [1.0000000000000002e-06]
75, 6421.029111741998, 1146466550183.601, 11971.145, 0.8592388166136788, 13323400010.3389, 3650.1233, 0.7923150027787113, [1.0000000000000002e-06]
76, 6506.465180469997, 1151083349472.591, 11995.225, 0.8586719739689708, 13635980879.016356, 3692.6929, 0.7874424960017377, [1.0000000000000002e-06]
77, 6591.906705434987, 1150256007685.576, 11990.913, 0.8587735535649795, 14001569805.01271, 3741.867, 0.7817437002723617, [1.0000000000000002e-06]
78, 6677.422823378991, 1151197260137.6724, 11995.818, 0.8586579882142058, 14007117336.658989, 3742.6084, 0.7816572254165706, [1.0000000000000002e-06]
79, 6762.948614093999, 1151087012773.4915, 11995.244, 0.8586715241952118, 14066735672.58957, 3750.5647, 0.7807278955216134, [1.0000000000000002e-06]
80, 6848.4846444669965, 1149521857657.9438, 11987.086, 0.8588636912376888, 13798734785.296104, 3714.665, 0.7849054900912918, [1.0000000000000002e-06]
81, 6933.947598866987, 1148107451921.475, 11979.709, 0.859037349531707, 13671382924.779594, 3697.4834, 0.7868906493432075, [1.0000000000000002e-06]
82, 7019.456044027989, 1149723409249.7632, 11988.138, 0.8588389450812717, 13657893672.846222, 3695.659, 0.7871009196381867, [1.0000000000000002e-06]
83, 7104.989831891988, 1148980683561.6467, 11984.265, 0.8589301356587672, 13532907970.23117, 3678.7102, 0.7890491952495295, [1.0000000000000002e-06]
84, 7190.476721190993, 1147581747507.435, 11976.966, 0.85910189461191, 13566288572.164484, 3683.2441, 0.7885288588328201, [1.0000000000000002e-06]
85, 7275.960514774997, 1147683208004.5972, 11977.495, 0.859089437467264, 13426095096.691792, 3664.1636, 0.790714193022396, [1.0000000000000002e-06]
86, 7361.4462098879885, 1147788625080.0146, 11978.045, 0.8590764945407716, 13546588985.449625, 3680.569, 0.7888359357507961, [1.0000000000000002e-06]
87, 7446.942091061996, 1149034571389.682, 11984.545, 0.8589235194042912, 13864133877.352556, 3723.4573, 0.7838860498401938, [1.0000000000000002e-06]
88, 7532.464865508999, 1147273627078.371, 11975.358, 0.8591397251061478, 14132848273.780272, 3759.3682, 0.7796973330988137, [1.0000000000000002e-06]
89, 7618.02054048299, 1151889202783.2593, 11999.423, 0.8585730326909831, 14146344212.297028, 3761.1626, 0.7794869585734542, [1.0000000000000002e-06]
90, 7703.501806036991, 1149583587041.3325, 11987.409, 0.8588561122105868, 13836969328.573471, 3719.8076, 0.7843094904959818, [1.0000000000000002e-06]
91, 7788.996168543992, 1145845077314.3687, 11967.901, 0.8593151199794434, 13891192336.211355, 3727.0889, 0.7834642629127924, [1.0000000000000002e-06]
92, 7874.495323895986, 1146899094229.665, 11973.404, 0.8591857096025926, 13637724311.514885, 3692.9287, 0.7874153193971674, [1.0000000000000002e-06]
93, 7960.014303651988, 1146954679467.4883, 11973.693, 0.8591788849430735, 13812467606.135061, 3716.513, 0.7846914230471765, [1.0000000000000002e-06]
94, 8045.575853974995, 1145468392033.7969, 11965.933, 0.859361368747756, 14206698306.561348, 3769.1777, 0.7785461596865445, [1.0000000000000002e-06]
95, 8131.076223826996, 1148826130543.2664, 11983.458, 0.8589491114114918, 14092662202.42061, 3754.0193, 0.7803237530901215, [1.0000000000000002e-06]
96, 8216.602902333994, 1144080350428.0579, 11958.681, 0.8595317900993271, 13695557165.3156, 3700.751, 0.7865138215759221, [1.0000000000000002e-06]
97, 8302.108251182988, 1147453840515.1792, 11976.299, 0.8591175988115574, 13597999551.296816, 3687.5464, 0.788034548476014, [1.0000000000000002e-06]
98, 8387.51572780199, 1145339970985.2344, 11965.262, 0.8593771360623493, 13833522784.432056, 3719.3445, 0.7843632151841151, [1.0000000000000002e-06]
99, 8473.072467798993, 1148570478124.2686, 11982.125, 0.858980499974052, 13531885073.44046, 3678.5713, 0.7890651401522548, [1.0000000000000002e-06]
100, 8558.602833971992, 1148692184571.545, 11982.76, 0.8589655570666103, 13820073396.250652, 3717.5361, 0.7845728640834139, [1.0000000000000002e-07]
